META fwd symbol=extract_references_recursive source_id=889 max_depth=4 count=14 dir=forward
ENTRY fwd seq=0 id=811 depth=1 is_test=true qn=ExtractedReference path=[811]
ENTRY fwd seq=1 id=1971 depth=1 is_test=true qn=Span path=[1971]
ENTRY fwd seq=2 id=893 depth=1 is_test=true qn=extract_object_creation path=[893]
ENTRY fwd seq=3 id=1248 depth=1 is_test=true qn=node_span path=[1248]
ENTRY fwd seq=4 id=888 depth=1 is_test=true qn=push_base_list_edges path=[888]
ENTRY fwd seq=5 id=890 depth=1 is_test=true qn=visit_invocation path=[890]
ENTRY fwd seq=6 id=891 depth=1 is_test=true qn=visit_member_access path=[891]
ENTRY fwd seq=7 id=1246 depth=2 is_test=true qn=node_text path=[893,1246]
ENTRY fwd seq=8 id=896 depth=2 is_test=true qn=parse_qualified_name path=[893,896]
ENTRY fwd seq=9 id=1977 depth=2 is_test=true qn=Span::new path=[1248,1977]
ENTRY fwd seq=10 id=892 depth=2 is_test=true qn=extract_invocation_reference path=[890,892]
ENTRY fwd seq=11 id=894 depth=2 is_test=true qn=parse_member_access path=[891,894]
ENTRY fwd seq=12 id=897 depth=3 is_test=true qn=collect_qualified_name_path path=[893,896,897]
ENTRY fwd seq=13 id=895 depth=3 is_test=true qn=collect_member_access_path path=[891,894,895]
META bwd symbol=extract_references_recursive source_id=889 max_depth=4 count=17 dir=backward
ENTRY bwd seq=0 id=887 depth=1 is_test=false qn=extract_references path=[887]
ENTRY bwd seq=1 id=890 depth=1 is_test=false qn=visit_invocation path=[890]
ENTRY bwd seq=2 id=891 depth=1 is_test=false qn=visit_member_access path=[891]
ENTRY bwd seq=3 id=879 depth=2 is_test=false qn=CSharpLanguage::extract_references path=[887,879]
ENTRY bwd seq=4 id=946 depth=2 is_test=true qn=accessor_body_refs_attribute_to_member_span path=[887,946]
ENTRY bwd seq=5 id=924 depth=2 is_test=true qn=base_list_emits_anchored_inherit_edges path=[887,924]
ENTRY bwd seq=6 id=969 depth=2 is_test=true qn=extracts_generic_object_creation path=[887,969]
ENTRY bwd seq=7 id=967 depth=2 is_test=true qn=extracts_member_method_call path=[887,967]
ENTRY bwd seq=8 id=966 depth=2 is_test=true qn=extracts_method_call path=[887,966]
ENTRY bwd seq=9 id=968 depth=2 is_test=true qn=extracts_object_creation path=[887,968]
ENTRY bwd seq=10 id=943 depth=2 is_test=true qn=member_read_chained_emits_one_ref_per_level path=[887,943]
ENTRY bwd seq=11 id=947 depth=2 is_test=true qn=member_read_on_assignment_lhs_is_emitted path=[887,947]
ENTRY bwd seq=12 id=945 depth=2 is_test=true qn=member_read_on_invocation_result_and_in_arguments path=[887,945]
ENTRY bwd seq=13 id=942 depth=2 is_test=true qn=member_read_simple_emits_field_access path=[887,942]
ENTRY bwd seq=14 id=944 depth=2 is_test=true qn=member_read_skips_invocation_callee_spine path=[887,944]
ENTRY bwd seq=15 id=948 depth=2 is_test=true qn=no_member_access_means_no_field_access_refs path=[887,948]
ENTRY bwd seq=16 id=970 depth=2 is_test=true qn=tracks_containing_symbol_for_references path=[887,970]
META fwd0 symbol=extract_references_recursive source_id=889 max_depth=0 count=0 dir=forward
META fwd1 symbol=extract_references_recursive source_id=889 max_depth=1 count=7 dir=forward
ENTRY fwd1 seq=0 id=811 depth=1 is_test=true qn=ExtractedReference path=[811]
ENTRY fwd1 seq=1 id=1971 depth=1 is_test=true qn=Span path=[1971]
ENTRY fwd1 seq=2 id=893 depth=1 is_test=true qn=extract_object_creation path=[893]
ENTRY fwd1 seq=3 id=1248 depth=1 is_test=true qn=node_span path=[1248]
ENTRY fwd1 seq=4 id=888 depth=1 is_test=true qn=push_base_list_edges path=[888]
ENTRY fwd1 seq=5 id=890 depth=1 is_test=true qn=visit_invocation path=[890]
ENTRY fwd1 seq=6 id=891 depth=1 is_test=true qn=visit_member_access path=[891]
